15.91,14.45,16.29,18.72,50.46,51.44,45.36,1006.06,1010.06,60.15,26.62,,0
15.86,14.45,16.28,18.71,50.42,50.82,45.48,1006.04,1010.11,60.32,26.15,,0
15.81,14.44,16.27,18.66,50.22,50.07,45.51,1006.04,1010.11,60.32,26.19,,0
15.75,14.41,16.26,18.68,50,49.08,45.63,1006.06,1010.15,60.15,25.85,,0
15.78,14.43,16.25,18.67,49.63,47.78,45.69,1006.06,1010.04,60.15,26.73,,0
15.81,14.41,16.24,18.67,49.04,46.86,45.63,1006.06,1010.08,60.15,26.42,,0
15.78,14.39,16.24,18.66,48.52,46.41,45.55,1006.02,1010.08,60.48,26.45,,0
15.79,14.4,16.24,18.66,48.08,46.07,45.44,1006.02,1010.05,60.48,26.69,,0
15.79,14.41,16.23,18.63,47.67,45.82,45.31,1006.04,1010.04,60.32,26.72,,0
15.79,14.41,16.23,18.65,47.29,45.64,45.15,1006.02,1010.04,60.48,26.78,,0
15.79,14.42,16.24,18.65,47.01,45.54,45.01,1006.02,1010.06,60.48,26.59,,0
15.82,14.42,16.25,18.64,46.67,45.45,44.84,1006.04,1010.02,60.32,26.89,,0
15.85,14.42,16.25,18.65,46.41,45.36,44.67,1006.02,1010.06,60.48,26.58,,0
15.84,14.41,16.26,18.65,46.29,45.47,44.54,1006.04,1010.05,60.32,26.7,,0
15.82,14.44,16.27,18.62,46.19,45.79,44.29,1006.02,1010.02,60.48,26.94,,0
15.82,14.41,16.27,18.62,46.16,46.14,44.23,1006.02,1009.97,60.48,27.38,,0
15.84,14.41,16.28,18.64,46.19,46.02,44.09,1006.04,1010.03,60.32,26.86,,0
15.82,14.4,16.28,18.62,46.18,45.79,44,1006.02,1010.06,60.48,26.55,,0
15.84,14.4,16.29,18.62,46.07,45.69,43.94,1006.02,1010.01,60.48,26.96,,0
15.81,14.39,16.29,18.57,45.97,45.64,43.89,1006,1010.01,60.65,27.01,,0
15.78,14.38,16.29,18.58,45.98,45.59,43.79,1006,1009.98,60.65,27.22,,0
15.79,14.39,16.28,18.58,45.92,45.52,43.64,1006.02,1009.98,60.48,27.25,,0
15.78,14.4,16.28,18.58,45.85,45.56,43.49,1006,1010.01,60.65,27,,1
15.78,14.39,16.28,18.58,45.76,45.61,43.45,1006,1010.04,60.65,26.71,,1
15.81,14.38,16.28,18.59,45.73,45.77,43.38,1006.02,1010,60.48,27.08,,1
15.77,14.37,16.28,18.58,45.81,45.87,43.32,1006.02,1009.99,60.48,27.18,,1
15.77,14.34,16.28,18.56,45.82,45.6,43.24,1006.02,1009.95,60.48,27.52,,1
15.77,14.36,16.27,18.55,45.78,45.23,43.21,1006,1010,60.65,27.12,,1
15.75,14.34,16.27,18.52,45.69,44.98,43.16,1006.02,1009.98,60.48,27.29,,1
15.77,14.34,16.26,18.54,45.54,44.97,43.08,1006.02,1009.99,60.48,27.15,,1
15.77,14.34,16.26,18.56,45.48,44.88,43.01,1006,1009.98,60.65,27.26,,1
15.73,14.32,16.25,18.53,45.41,44.83,42.94,1006,1010.01,60.65,27.03,,1
15.73,14.32,16.24,18.52,45.27,44.86,42.85,1006.02,1009.95,60.48,27.49,,1
15.72,14.34,16.24,18.51,45.27,44.92,42.78,1006,1010.02,60.65,26.89,,1
15.72,14.33,16.23,18.51,45.21,44.81,42.73,1006.02,1010.01,60.48,27.04,,1
15.69,14.33,16.22,18.5,45.18,44.8,42.66,1006.04,1009.99,60.32,27.17,,1
15.69,14.34,16.22,18.49,45.13,44.82,42.6,1006,1010.01,60.65,27.01,,1
15.66,14.35,16.21,18.49,45.12,44.79,42.55,1006,1009.97,60.65,27.37,,1
15.69,14.36,16.2,18.48,45.07,44.72,42.5,1006.02,1010.05,60.48,26.69,,1
15.66,14.36,16.19,18.45,45.07,44.79,42.44,1006,1010.08,60.65,26.44,,1
15.66,14.37,16.18,18.43,45.12,44.98,42.39,1006.02,1009.99,60.48,27.18,,1
15.66,14.38,16.18,18.44,45.18,45.1,42.36,1006,1009.99,60.65,27.15,,1
15.65,14.4,16.17,18.45,45.28,45.22,42.32,1006.02,1010.01,60.48,27.04,,1
15.66,14.41,16.17,18.42,45.4,45.29,42.32,1006.02,1010.02,60.48,26.96,,1
15.64,14.42,16.17,18.42,45.5,45.33,42.3,1006.02,1010.05,60.48,26.64,,1
